Data,Dia Semana,Hora Inicio,Hora Fim,Nome,Id Funcionario,Bloqueio,Otimizacao
22/05/2022,Domingo,00:00:00,12:00:00,Funcionario 11,11,False,False
22/05/2022,Domingo,12:00:00,23:59:59,Funcionario 18,18,False,False
23/05/2022,Segunda,00:00:00,08:00:00,Funcionario 18,18,False,False
23/05/2022,Segunda,21:00:00,23:59:59,Funcionario 11,11,False,False
24/05/2022,Terça,00:00:00,08:00:00,Funcionario 11,11,False,False
24/05/2022,Terça,21:00:00,23:59:59,Funcionario 14,14,False,False
25/05/2022,Quarta,00:00:00,08:00:00,Funcionario 14,14,False,False
25/05/2022,Quarta,21:00:00,23:59:59,Funcionario 9,9,False,False
26/05/2022,Quinta,00:00:00,08:00:00,Funcionario 9,9,False,False
26/05/2022,Quinta,21:00:00,23:59:59,Funcionario 14,14,False,False
27/05/2022,Sexta,00:00:00,08:00:00,Funcionario 14,14,False,False
27/05/2022,Sexta,21:00:00,23:59:59,Funcionario 9,9,False,False
28/05/2022,Sábado,00:00:00,12:00:00,Funcionario 9,9,False,False
28/05/2022,Sábado,12:00:00,23:59:59,Funcionario 14,14,False,False
29/05/2022,Domingo,00:00:00,12:00:00,Funcionario 14,14,False,False
29/05/2022,Domingo,12:00:00,23:59:59,Funcionario 9,9,False,False
30/05/2022,Segunda,00:00:00,08:00:00,Funcionario 9,9,False,False
30/05/2022,Segunda,21:00:00,23:59:59,Funcionario 14,14,False,False
31/05/2022,Terça,00:00:00,08:00:00,Funcionario 14,14,False,False
31/05/2022,Terça,21:00:00,23:59:59,Funcionario 9,9,False,False
01/06/2022,Quarta,00:00:00,08:00:00,Funcionario 9,9,False,False
01/06/2022,Quarta,21:00:00,23:59:59,Funcionario 1,1,False,False
02/06/2022,Quinta,00:00:00,08:00:00,Funcionario 1,1,False,False
02/06/2022,Quinta,21:00:00,23:59:59,Funcionario 7,7,False,False
03/06/2022,Sexta,00:00:00,08:00:00,Funcionario 7,7,False,False
03/06/2022,Sexta,21:00:00,23:59:59,Funcionario 1,1,False,False
04/06/2022,Sábado,00:00:00,12:00:00,Funcionario 1,1,False,False
04/06/2022,Sábado,12:00:00,23:59:59,Funcionario 7,7,False,False
05/06/2022,Domingo,00:00:00,12:00:00,Funcionario 7,7,False,False
05/06/2022,Domingo,12:00:00,23:59:59,Funcionario 1,1,False,False
06/06/2022,Segunda,00:00:00,08:00:00,Funcionario 1,1,False,False
06/06/2022,Segunda,21:00:00,23:59:59,Funcionario 7,7,False,False
07/06/2022,Terça,00:00:00,08:00:00,Funcionario 7,7,False,False
07/06/2022,Terça,21:00:00,23:59:59,Funcionario 1,1,False,False
08/06/2022,Quarta,00:00:00,08:00:00,Funcionario 1,1,False,False
08/06/2022,Quarta,21:00:00,23:59:59,Funcionario 7,7,False,False
09/06/2022,Quinta,00:00:00,08:00:00,Funcionario 7,7,False,False
09/06/2022,Quinta,21:00:00,23:59:59,Funcionario 12,12,False,False
10/06/2022,Sexta,00:00:00,08:00:00,Funcionario 12,12,False,False
10/06/2022,Sexta,21:00:00,23:59:59,Funcionario 18,18,False,False
11/06/2022,Sábado,00:00:00,12:00:00,Funcionario 18,18,False,False
11/06/2022,Sábado,12:00:00,23:59:59,Funcionario 12,12,False,False
12/06/2022,Domingo,00:00:00,12:00:00,Funcionario 12,12,False,False
12/06/2022,Domingo,12:00:00,23:59:59,Funcionario 18,18,False,False
13/06/2022,Segunda,00:00:00,08:00:00,Funcionario 18,18,False,False
13/06/2022,Segunda,21:00:00,23:59:59,Funcionario 12,12,False,False
14/06/2022,Terça,00:00:00,08:00:00,Funcionario 12,12,False,False
14/06/2022,Terça,21:00:00,23:59:59,Funcionario 18,18,False,False
15/06/2022,Quarta,00:00:00,08:00:00,Funcionario 18,18,False,False
15/06/2022,Quarta,21:00:00,23:59:59,Funcionario 12,12,False,False
16/06/2022,Quinta,00:00:00,12:00:00,Funcionario 12,12,False,False
16/06/2022,Quinta,12:00:00,23:59:59,Funcionario 18,18,False,False
17/06/2022,Sexta,00:00:00,08:00:00,Funcionario 18,18,False,False
17/06/2022,Sexta,21:00:00,23:59:59,Funcionario 11,11,False,False
18/06/2022,Sábado,00:00:00,12:00:00,Funcionario 11,11,False,False
18/06/2022,Sábado,12:00:00,23:59:59,Funcionario 14,14,False,False
19/06/2022,Domingo,00:00:00,12:00:00,Funcionario 14,14,False,False
19/06/2022,Domingo,12:00:00,23:59:59,Funcionario 11,11,False,False
20/06/2022,Segunda,00:00:00,08:00:00,Funcionario 11,11,False,False
20/06/2022,Segunda,21:00:00,23:59:59,Funcionario 14,14,False,False
21/06/2022,Terça,00:00:00,08:00:00,Funcionario 14,14,False,False
21/06/2022,Terça,21:00:00,23:59:59,Funcionario 11,11,False,False
22/06/2022,Quarta,00:00:00,08:00:00,Funcionario 11,11,False,False
22/06/2022,Quarta,21:00:00,23:59:59,Funcionario 14,14,False,False
23/06/2022,Quinta,00:00:00,08:00:00,Funcionario 14,14,False,False
